address,trades,buys,sells,win_rate,profitable_exits,total_exits,net_pnl_usdc,gross_in_usdc,gross_out_usdc,trades_per_day,active_days,strategy,ev_score,pvalue,alpha_decay,median_hold_secs,mean_hold_secs,cluster
0xff01dba4999266bff87400756e8830528fa2ecbe,3976,1988,1988,85.9,1707,1988,77235.38,50161.43,127396.81,220.9,18,bot,1.5732,0.0,1.015,469,467,hft_bot
0x3859a10d43f7d7a2ad8ba1c940d7bebe6c7ee123,4158,2079,2079,85.3,1773,2079,80030.38,52600.95,132631.34,231.0,18,bot,1.5555,0.0,1.035,473,470,hft_bot
0x2dc477ac10d6c07b3fe008f6360377333740d8a2,3250,1625,1625,83.2,1352,1625,59549.63,40933.38,100483.01,154.8,21,bot,1.497,0.0,0.987,457,462,hft_bot
0x4897978314c05686de93ed7cef33c440c3291c1f,34,17,17,76.5,13,17,564.83,420.5,985.33,1.9,18,swing,1.4676,0.0262,2.0,3030,3072,edge
0xdc6486c479e84c94efce4bea7169ef7d4c80b6da,4218,2109,2109,80.3,1693,2109,73959.83,52992.16,126951.99,234.3,18,bot,1.4294,0.0,0.998,484,469,hft_bot
0x316216ecc384213edcc34abde19a8271ed84e9ed,1978,989,989,79.8,789,989,34143.02,24948.84,59091.86,116.4,17,bot,1.4103,0.0,1.031,478,473,hft_bot
0x494c75ecda263c0c24aa88991409434f2ee3d3a1,50,25,25,76.0,19,25,811.48,638.63,1450.11,4.2,12,swing,1.3366,0.0082,1.026,3477,3450,sharp
0x56758606014f78ee9385f05b98c3de055684aeed,38,19,19,73.7,14,19,611.29,498.3,1109.59,1.8,21,swing,1.3248,0.0332,0.9,3814,3566,edge
0x3f2b13f3a7773d13046e614f196a5b7ae921f73f,28,14,14,78.6,11,14,443.47,352.52,795.99,2.0,14,swing,1.3136,0.0307,1.75,3151,3740,edge
0x840a346af7ff312d9efa810cac9aae174de4135c,28,14,14,78.6,11,14,482.06,351.11,833.18,4.0,7,swing,1.297,0.0307,1.2,2944,3412,edge
0x1f2bdb45bfa866b68aa03b9d038b3c64d1e4537d,222,111,111,73.9,82,111,3270.88,2800.32,6071.19,22.2,10,scalper,1.2469,0.0,0.731,3467,3667,edge
0x7e04fa25e70e2a97f291f28de1ed5c3224d7fe36,204,102,102,71.6,73,102,2969.42,2556.12,5525.54,14.6,14,scalper,1.211,0.0,0.78,3613,3692,edge
0x382d38e6fb8a95f6fd047d295cec3c7d7efddd92,216,108,108,69.4,75,108,2989.7,2710.91,5700.61,10.8,20,scalper,1.1375,0.0,1.206,4081,3907,sharp
0x632e9b86b9cad722b2a90c0dd3bb2a1ebf05992e,158,79,79,68.4,54,79,2293.07,1979.22,4272.29,14.4,11,scalper,1.134,0.0008,1.05,4030,3857,sharp
0x93af0754efc6d17718651a20d49bce272b344b7d,56,28,28,67.9,19,28,751.31,707.14,1458.45,5.6,10,swing,1.0666,0.0445,0.727,2750,3340,edge
0xefe19682373701b68b50c9a9f5c59a517b97a225,240,120,120,67.5,81,120,3216.9,3032.66,6249.56,24.0,10,scalper,1.0621,0.0001,0.976,3480,3437,sharp
0x68d2301028fb66b51d9111f1af067e3430ad60bb,56,28,28,64.3,18,28,729.97,717.37,1447.34,9.3,6,swing,1.0352,0.0929,0.636,4500,4206,fading
0x5ffece0a3b6889df5ce617c82b5e296f2e6537ef,192,96,96,65.6,63,96,2492.92,2463.03,4955.95,9.6,20,swing,1.0226,0.0015,1.032,3781,3755,sharp
0x4aad2323b28346d9042dccdbfc4d7c965651dcfb,160,80,80,65.0,52,80,1979.8,1975.49,3955.29,8.4,19,swing,1.0082,0.0051,0.926,4137,4105,sharp
0xa1295ecd6d9d587666224bacbd1691db50103327,222,111,111,64.9,72,111,2717.36,2823.46,5540.82,22.2,10,scalper,0.984,0.0012,0.929,4112,3978,sharp
0x9693dda2853ff0d964a7aa2cff9002f45e58619d,164,82,82,61.0,50,82,1837.87,2000.1,3837.97,8.6,19,swing,0.9643,0.0302,0.786,3283,3566,edge
0xbd2f3a1c2bbc7df18fb74f1cd25485ee5e11acdf,212,106,106,60.4,64,106,2473.36,2642.15,5115.51,21.2,10,scalper,0.9335,0.0207,1.207,4138,3802,edge
0x2523b253f746d5d64e0e5b71011243b720a8e23e,162,81,81,61.7,50,81,1867.23,2029.56,3896.79,8.1,20,swing,0.9201,0.0228,1.057,4148,4001,edge
0xe69d389f015dd2e8fe1f7271b8138c41515d24c3,110,55,55,63.6,35,55,1262.84,1427.32,2690.16,11.0,10,scalper,0.8905,0.0295,0.643,3663,3773,edge
0xeace4aed926f15f735e56ac719013b4b210bd330,196,98,98,58.2,57,98,2055.31,2527.06,4582.36,9.3,21,swing,0.8616,0.0649,0.966,3951,3870,developing
0x9ad4aee2a98f87fa44709b6de8a10f43eb153408,94,47,47,59.6,28,47,956.8,1195.95,2152.75,6.7,14,swing,0.8586,0.1216,0.831,4016,3761,developing
0xcd740a7c5c4cb68a38c4cad51cc713a4f93a5ee8,104,52,52,55.8,29,52,1005.34,1277.53,2282.88,6.1,17,swing,0.8164,0.244,0.812,5451,4602,developing
0x2a53777744b5acdf33b93add340f3b898d9417e2,198,99,99,56.6,56,99,1967.45,2508.61,4476.06,15.2,13,scalper,0.8064,0.1139,1.131,3366,3763,developing
0x85d4856f1735f596b7266c93a4836c8cc9a69c1f,70,35,35,60.0,21,35,746.7,886.88,1633.58,6.4,11,swing,0.8022,0.1552,1.039,3106,3466,developing
0xf0b2f0eadf35b443ddc3e83761959ea6df7f022f,240,120,120,57.5,69,120,2271.21,3020.24,5291.45,16.0,15,scalper,0.779,0.0603,1.156,3779,3768,developing
0x760caa7aeb5e5147d5a40f97a2e4f27490050d14,182,91,91,57.1,52,91,1665.32,2287.45,3952.77,18.2,10,scalper,0.7584,0.1042,1.057,3786,3718,developing
0x64d7885ae184a9018dcd25953ea67bcc5fc4264e,48,24,24,54.2,13,24,415.17,619.37,1034.54,2.8,17,swing,0.7393,0.4191,0.857,3218,3805,developing
